index_name,value,timestamp,date
深证指数,10156.07,2025-01-31 13:00:48,2025-01-27
上证指数,3250.6007,2025-01-31 13:00:50,2025-01-27
深证指数,10156.07,2025-01-31 18:00:50,2025-01-27
上证指数,3250.6007,2025-01-31 18:00:51,2025-01-27
深证指数,10156.07,2025-02-01 13:00:50,2025-01-27
上证指数,3250.6007,2025-02-01 13:00:52,2025-01-27
深证指数,10156.07,2025-02-01 18:00:46,2025-01-27
上证指数,3250.6007,2025-02-01 18:00:48,2025-01-27
深证指数,10156.07,2025-02-02 13:00:50,2025-01-27
上证指数,3250.6007,2025-02-02 13:00:51,2025-01-27
深证指数,10156.07,2025-02-02 18:00:45,2025-01-27
上证指数,3250.6007,2025-02-02 18:00:47,2025-01-27
深证指数,10156.07,2025-02-03 13:00:47,2025-01-27
上证指数,3250.6007,2025-02-03 13:00:48,2025-01-27
深证指数,10156.07,2025-02-03 18:00:50,2025-01-27
上证指数,3250.6007,2025-02-03 18:00:51,2025-01-27
深证指数,10156.07,2025-02-04 13:00:48,2025-01-27
上证指数,3250.6007,2025-02-04 13:00:50,2025-01-27
深证指数,10156.07,2025-02-04 18:00:45,2025-01-27
上证指数,3250.6007,2025-02-04 18:00:47,2025-01-27
深证指数,10186.75,2025-02-05 13:00:46,2025-02-05
上证指数,3235.4892,2025-02-05 13:00:48,2025-02-05
深证指数,10164.22,2025-02-05 18:00:45,2025-02-05
上证指数,3229.4876,2025-02-05 18:00:46,2025-02-05
深证指数,10320.89,2025-02-06 13:00:46,2025-02-06
上证指数,3254.4572,2025-02-06 13:00:48,2025-02-06
深证指数,10393.63,2025-02-06 18:00:49,2025-02-06
上证指数,3270.6594,2025-02-06 18:00:51,2025-02-06
深证指数,10393.63,2025-02-06 18:20:05,2025-02-06
上证指数,3270.6594,2025-02-06 18:20:07,2025-02-06
深证指数,10393.63,2025-02-06 18:25:11,2025-02-06
上证指数,3270.6594,2025-02-06 18:25:13,2025-02-06
深证指数,10393.63,2025-02-06 18:30:36,2025-02-06
上证指数,3270.6594,2025-02-06 18:30:38,2025-02-06
深证指数,10393.63,2025-02-06 18:37:02,2025-02-06
上证指数,3270.6594,2025-02-06 18:37:03,2025-02-06
深证指数,10410.03,2025-02-07 09:28:33,2025-02-07
上证指数,3269.2269,2025-02-07 09:28:35,2025-02-07
深证指数,10643.98,2025-02-07 13:00:46,2025-02-07
上证指数,3313.2552,2025-02-07 13:00:48,2025-02-07
深证指数,10451.46,2025-02-07 14:24:17,2025-02-07
上证指数,3277.7419,2025-02-07 14:24:19,2025-02-07
深证指数,10576.00,2025-02-07 15:22:46,2025-02-07
上证指数,3303.6666,2025-02-07 15:22:48,2025-02-07
深证指数,10576.00,2025-02-07 15:30:10,2025-02-07
上证指数,3303.6666,2025-02-07 15:30:12,2025-02-07
深证指数,10576.00,2025-02-07 15:30:19,2025-02-07
上证指数,3303.6666,2025-02-07 15:30:21,2025-02-07
深证指数,10576.00,2025-02-07 15:37:43,2025-02-07
上证指数,3303.6666,2025-02-07 15:37:45,2025-02-07
深证指数,10576.00,2025-02-07 16:40:43,2025-02-07
上证指数,3303.6666,2025-02-07 16:40:45,2025-02-07
深证指数,10576.00,2025-02-07 18:00:45,2025-02-07
上证指数,3303.6666,2025-02-07 18:00:47,2025-02-07
深证指数,10576.00,2025-02-07 18:01:09,2025-02-07
上证指数,3303.6666,2025-02-07 18:01:10,2025-02-07
深证指数,10576.00,2025-02-08 18:00:44,2025-02-07
